DEC_1	DEC_2	E2_1	E2_2	UNTR_1	UNTR_2
ENSMUSG00000025395	213	202	210	203	160	180
ENSMUSG00000061315	15182	14828	14437	13357	15520	17644
ENSMUSG00000071072	4053	3903	3580	3466	3721	4003
ENSMUSG00000040054	9511	9726	9820	9137	4909	5599
ENSMUSG00000025393	22267	21233	24166	21826	20797	23121
ENSMUSG00000064778	11	16	12	10	4	7
ENSMUSG00000093245	12	3	13	13	1	2
ENSMUSG00000040043	1677	1651	1302	1183	1184	1351
ENSMUSG00000044005	923	855	850	797	1134	1288
ENSMUSG00000051346	299	287	291	266	263	269
ENSMUSG00000025389	0	1	0	0	0	0
ENSMUSG00000091500	11	5	2	1	1	2
ENSMUSG00000039994	990	940	337	322	278	339
ENSMUSG00000051716	5	7	1	2	2	1
ENSMUSG00000047631	30	33	6	11	12	12
ENSMUSG00000040033	19014	18718	4055	3986	3515	3948
ENSMUSG00000025383	6	5	3	2	4	3
ENSMUSG00000064948	0	0	0	0	0	1
ENSMUSG00000005682	1409	1412	1677	1630	1018	1039
ENSMUSG00000025381	2320	2182	1902	1806	2350	2635
ENSMUSG00000005683	7669	7419	7927	7247	5923	6695
ENSMUSG00000089313	0	0	0	0	1	0
ENSMUSG00000039914	1184	1115	1337	1290	1106	1311
ENSMUSG00000014498	4768	4757	5106	4638	2240	2618
ENSMUSG00000088393	0	0	0	0	1	0
ENSMUSG00000090761	277	256	384	304	297	382
ENSMUSG00000039878	41	34	63	48	50	82
ENSMUSG00000025374	1536	1601	1680	1684	1690	1889
ENSMUSG00000025373	2257	2266	2191	1981	1738	2024
ENSMUSG00000088151	3	6	1	2	2	1
ENSMUSG00000025369	8258	8540	7807	7541	5343	6007
ENSMUSG00000090841	33312	34799	28375	31246	32954	41929
ENSMUSG00000039824	55	38	51	55	42	44
ENSMUSG00000085446	151	132	156	160	143	145
ENSMUSG00000025366	28760	28045	27613	25517	18219	20429
ENSMUSG00000039810	1273	1207	1307	1279	1289	1409
ENSMUSG00000093674	35446	35524	34306	31117	46963	53874
ENSMUSG00000025364	3521	3569	3183	2907	3195	3579
ENSMUSG00000018166	307	274	283	297	238	255
ENSMUSG00000091240	1	1	0	0	2	2
ENSMUSG00000025362	16995	17430	17553	17017	20782	23471
ENSMUSG00000002578	881	837	1700	1604	710	826
ENSMUSG00000091431	15	16	9	10	11	13
ENSMUSG00000049858	1204	1209	2054	1967	1364	1532
ENSMUSG00000000711	7657	7334	7628	7068	5933	6513
ENSMUSG00000025358	1616	1513	1927	1643	1274	1514
ENSMUSG00000025359	48	35	44	38	47	38
ENSMUSG00000025357	1912	1933	1725	1709	1402	1554
ENSMUSG00000064030	872	884	816	751	843	1026
ENSMUSG00000045055	26	24	24	17	22	34
ENSMUSG00000025355	2850	2797	2889	2670	1877	2175
ENSMUSG00000047090	788	785	877	737	670	771
ENSMUSG00000025354	4014	3752	3503	3227	2722	3135
ENSMUSG00000025353	580	574	523	456	466	570
ENSMUSG00000078427	1855	1884	1594	1507	2022	2168
ENSMUSG00000025352	27	27	26	30	42	49
ENSMUSG00000025351	41412	38361	47049	42844	48289	54588
ENSMUSG00000025350	72	70	79	68	57	66
ENSMUSG00000090247	224	241	146	182	215	239
ENSMUSG00000025348	14	16	14	9	28	37
ENSMUSG00000088768	0	0	0	0	0	0
ENSMUSG00000025347	0	0	1	0	0	1
ENSMUSG00000069430	0	1	0	0	0	1
ENSMUSG00000063374	1	0	0	0	0	1
ENSMUSG00000069429	0	1	0	0	0	1
ENSMUSG00000056853	0	0	0	0	0	0
ENSMUSG00000059762	0	0	0	0	0	2
ENSMUSG00000050198	0	0	0	0	0	1
ENSMUSG00000042801	0	0	0	0	0	0
ENSMUSG00000047868	0	0	0	0	1	0
ENSMUSG00000061367	0	0	0	0	0	1
ENSMUSG00000084732	0	0	0	0	0	0
ENSMUSG00000091414	0	0	0	0	0	1
ENSMUSG00000091717	0	0	0	0	0	0
ENSMUSG00000072403	0	0	0	0	0	0
ENSMUSG00000072402	0	0	0	0	0	0
ENSMUSG00000059402	0	0	0	0	0	1
ENSMUSG00000062914	0	0	0	0	1	0
ENSMUSG00000077280	0	0	0	0	0	0
ENSMUSG00000044537	0	0	0	0	0	0
ENSMUSG00000049573	1	0	0	0	0	0
ENSMUSG00000059787	0	0	0	0	0	0
ENSMUSG00000057151	0	0	0	0	1	0
ENSMUSG00000062239	0	0	0	0	0	1
ENSMUSG00000064245	0	0	0	0	0	1
ENSMUSG00000057617	0	0	0	0	0	0
ENSMUSG00000049217	0	1	0	0	0	1
ENSMUSG00000044025	0	0	0	0	0	1
ENSMUSG00000047626	0	0	0	0	0	0
ENSMUSG00000057300	0	0	0	0	0	0
ENSMUSG00000044293	0	0	0	0	0	0
ENSMUSG00000076964	0	0	0	0	0	1
ENSMUSG00000052012	0	0	0	0	1	0
ENSMUSG00000058304	0	0	0	0	0	0
ENSMUSG00000057002	0	0	0	0	0	0
ENSMUSG00000063452	0	0	0	0	0	0
ENSMUSG00000058513	0	0	0	0	0	0
ENSMUSG00000059414	0	0	0	0	1	1
ENSMUSG00000046041	0	0	0	0	0	0
ENSMUSG00000088147	0	0	0	0	0	0
ENSMUSG00000057403	0	0	0	0	0	0
ENSMUSG00000060089	0	0	0	0	0	1
ENSMUSG00000071065	0	0	0	0	0	0
ENSMUSG00000050478	0	0	0	0	0	0
ENSMUSG00000049894	0	0	0	0	0	0
ENSMUSG00000050251	1	0	0	0	0	0
ENSMUSG00000069421	0	0	0	0	0	1
ENSMUSG00000063173	0	0	0	0	0	0
ENSMUSG00000049052	0	0	0	0	0	1
ENSMUSG00000052818	0	0	0	0	0	0
ENSMUSG00000059134	0	0	0	0	0	0
ENSMUSG00000061961	0	0	0	0	0	0
ENSMUSG00000063715	0	0	0	0	0	0
ENSMUSG00000058071	0	0	0	0	0	0
ENSMUSG00000091646	0	0	0	0	0	0
ENSMUSG00000090748	0	0	0	0	0	0
ENSMUSG00000091597	0	0	0	0	0	0
ENSMUSG00000048745	0	0	0	0	0	1
ENSMUSG00000044897	0	0	0	0	0	0
ENSMUSG00000058251	0	0	0	0	0	0
ENSMUSG00000060564	0	0	0	0	0	0
ENSMUSG00000057264	0	0	0	0	0	1
ENSMUSG00000058084	0	0	0	0	0	0
ENSMUSG00000059862	0	0	0	0	0	0
ENSMUSG00000045559	0	0	0	0	0	0
ENSMUSG00000048015	0	0	0	0	0	3
ENSMUSG00000034833	47	46	57	44	36	51
ENSMUSG00000070601	4	2	2	3	0	2
ENSMUSG00000040540	15	19	8	9	4	13
ENSMUSG00000092048	0	0	0	0	1	0
ENSMUSG00000092162	0	0	0	0	4	0
ENSMUSG00000091511	1	0	0	1	0	1
ENSMUSG00000064373	83916	79421	38558	35507	69614	77356
ENSMUSG00000091119	88	65	29	32	44	51
ENSMUSG00000055737	31	58	18	24	51	47
ENSMUSG00000080595	0	0	0	0	0	0
ENSMUSG00000087921	0	0	0	0	0	0
ENSMUSG00000022184	734	738	549	555	589	645
ENSMUSG00000041935	3569	3448	3465	3157	1801	2103
ENSMUSG00000087697	2	1	5	1	4	1
ENSMUSG00000087221	19	18	10	8	9	10
ENSMUSG00000022186	4517	4389	5350	4793	4167	4616
ENSMUSG00000086297	0	0	0	0	0	0
ENSMUSG00000049148	0	0	0	0	2	2
ENSMUSG00000022181	3	0	0	2	5	0
ENSMUSG00000022155	2	3	0	1	4	7
ENSMUSG00000079105	3	0	0	0	1	0
ENSMUSG00000065714	0	0	0	0	0	0
ENSMUSG00000080720	0	0	0	0	0	0
ENSMUSG00000041849	610	616	459	418	287	341
ENSMUSG00000041841	16854	16693	16200	14853	20807	23236
ENSMUSG00000077737	37	28	31	39	44	38
ENSMUSG00000068706	0	2	0	1	1	1
ENSMUSG00000050697	2758	2749	2487	2475	1738	1967
ENSMUSG00000087532	2	2	0	0	0	0
ENSMUSG00000022151	1219	1234	1134	1048	1084	1189
ENSMUSG00000039942	3414	3400	3712	3543	3037	3322
ENSMUSG00000084024	0	0	0	1	1	0
ENSMUSG00000077405	0	0	0	0	0	0
ENSMUSG00000022150	11364	11355	5057	4712	5497	5975
ENSMUSG00000089771	0	0	0	0	0	0
ENSMUSG00000079102	0	0	0	0	0	0
ENSMUSG00000022149	0	0	0	4	2	3
ENSMUSG00000088749	0	0	0	0	0	0
ENSMUSG00000022148	11744	11939	7623	7460	4822	5424
ENSMUSG00000089647	72	72	54	53	58	64
ENSMUSG00000067547	45	32	35	31	32	49
ENSMUSG00000050310	1975	1936	1902	1709	962	1052
ENSMUSG00000022146	126	129	15	15	111	132
ENSMUSG00000054263	311	282	227	196	183	211
ENSMUSG00000042961	3	2	0	0	7	8
ENSMUSG00000089966	0	0	0	0	1	0
ENSMUSG00000090199	1	0	0	0	0	1
ENSMUSG00000022144	28	32	6	6	35	36
ENSMUSG00000039828	650	615	586	552	468	510
ENSMUSG00000022142	1248	1193	1186	1169	823	910
ENSMUSG00000039801	944	877	987	875	497	587
ENSMUSG00000064566	0	0	1	0	0	0
ENSMUSG00000022141	5907	5937	6125	5842	2763	3055
ENSMUSG00000078850	3	4	5	0	1	1
ENSMUSG00000005360	1	6	1	2	4	8
ENSMUSG00000048424	0	1	1	0	1	1
ENSMUSG00000088388	0	0	0	0	0	0
ENSMUSG00000022253	683	636	669	569	499	586
ENSMUSG00000054115	318	302	232	242	196	226
ENSMUSG00000039704	697	728	545	534	184	212
ENSMUSG00000072664	0	1	0	0	2	1
ENSMUSG00000049152	6	7	3	3	3	4
ENSMUSG00000039676	26	20	17	16	23	24
ENSMUSG00000003882	14198	13897	18038	16505	9978	10843
ENSMUSG00000072663	81	87	91	90	64	76
ENSMUSG00000088156	0	0	0	0	0	0
ENSMUSG00000005268	4	6	0	3	4	8
ENSMUSG00000089678	0	0	0	0	0	4
ENSMUSG00000044224	807	757	811	787	671	746
ENSMUSG00000022247	911	846	824	784	816	876
ENSMUSG00000022248	312	260	305	237	281	298
ENSMUSG00000022249	0	0	0	0	3	3
ENSMUSG00000091615	0	0	0	0	0	0
ENSMUSG00000052482	1	0	2	1	2	3
ENSMUSG00000022246	2400	2394	3326	3088	1964	2232
ENSMUSG00000092044	13	9	11	9	6	6
ENSMUSG00000085013	41	54	47	49	34	48
ENSMUSG00000058914	0	1	1	2	0	0
ENSMUSG00000022244	174	182	192	179	186	223
ENSMUSG00000022243	0	2	0	0	1	3
ENSMUSG00000060735	0	1	0	0	1	1
ENSMUSG00000047497	17	19	2	2	14	17
ENSMUSG00000089304	0	0	0	0	0	0
ENSMUSG00000022241	1559	1535	1441	1343	1337	1432
ENSMUSG00000022206	0	3	3	3	3	5
ENSMUSG00000088803	0	0	0	0	0	0
ENSMUSG00000022205	5444	4969	5821	5796	5947	6484
ENSMUSG00000022201	4777	4811	4400	4219	3006	3231
ENSMUSG00000089250	1	0	1	1	0	0
ENSMUSG00000084592	19	22	9	17	7	9
ENSMUSG00000039458	1857	1774	2246	2073	1228	1441
ENSMUSG00000022200	4597	4365	4191	4171	3115	3442
ENSMUSG00000022197	36	29	42	27	25	38
ENSMUSG00000093366	0	0	0	0	0	0
ENSMUSG00000078300	9	7	13	2	13	4
ENSMUSG00000093248	0	0	0	0	0	0
ENSMUSG00000022195	1247	1170	1103	1052	909	1036
ENSMUSG00000022191	1499	1407	1184	1095	1008	1146
ENSMUSG00000089564	0	0	0	0	0	0
ENSMUSG00000039385	0	1	1	2	0	2
ENSMUSG00000092919	0	0	0	0	0	0
ENSMUSG00000080385	0	0	0	0	0	0
ENSMUSG00000088704	0	0	0	0	0	0
ENSMUSG00000025370	1	1	1	0	1	2
ENSMUSG00000080596	0	0	0	0	0	0
ENSMUSG00000088133	0	0	0	0	0	0
ENSMUSG00000088946	0	0	0	0	0	0
ENSMUSG00000084873	0	0	0	0	0	1
ENSMUSG00000022321	4	1	0	0	2	1
ENSMUSG00000089320	0	0	0	0	0	0
ENSMUSG00000047565	1	0	0	0	0	0
ENSMUSG00000089258	0	0	0	0	0	0
ENSMUSG00000040452	1	1	1	0	0	0
ENSMUSG00000064812	0	0	0	0	0	0
ENSMUSG00000040420	0	1	0	0	2	5
ENSMUSG00000021927	2	0	1	0	2	1
ENSMUSG00000091194	0	0	0	0	1	0
ENSMUSG00000077766	0	0	0	0	0	0
ENSMUSG00000087760	0	0	0	0	0	0
ENSMUSG00000064675	0	0	0	0	0	0
ENSMUSG00000090769	2	1	1	0	0	1
ENSMUSG00000051237	0	0	1	0	1	2
ENSMUSG00000045763	16893	16537	17659	17584	16947	19363
ENSMUSG00000056089	3	2	0	3	5	0
ENSMUSG00000022272	2424	2479	2068	1954	1651	1886
ENSMUSG00000089639	0	6	4	3	3	7
ENSMUSG00000022270	2057	1939	2421	2280	1521	1671
ENSMUSG00000052253	2034	1925	2095	2063	2171	2403
ENSMUSG00000022269	1	0	0	0	1	0
ENSMUSG00000043556	2	1	0	1	8	4
ENSMUSG00000090544	0	0	4	2	3	6
ENSMUSG00000088191	0	0	0	0	0	0
ENSMUSG00000022265	3225	3054	4300	3915	3233	3716
ENSMUSG00000046034	2037	1872	1931	1683	2124	2337
ENSMUSG00000056069	6658	6506	5376	5201	4940	5455
ENSMUSG00000022263	4374	4618	4279	3997	2226	2430
ENSMUSG00000022262	15	15	10	11	12	29
ENSMUSG00000092639	0	0	0	0	0	0
ENSMUSG00000088621	0	0	0	0	2	0
ENSMUSG00000089279	0	0	0	0	0	0
ENSMUSG00000088045	0	0	0	0	0	0
ENSMUSG00000092766	0	0	0	0	0	0
ENSMUSG00000065726	0	0	0	0	0	0
ENSMUSG00000022240	18	14	11	10	15	19
ENSMUSG00000087836	0	0	0	0	0	0
ENSMUSG00000087874	0	0	0	0	0	0
ENSMUSG00000088364	0	0	0	0	0	0
ENSMUSG00000077468	0	0	0	0	0	0
ENSMUSG00000039168	6683	6289	7061	6418	7031	7971
ENSMUSG00000055416	4	1	2	2	3	4
ENSMUSG00000022237	3132	3023	3543	3440	2704	2803
ENSMUSG00000022236	205	193	164	185	182	224
ENSMUSG00000068964	0	0	0	0	0	0
ENSMUSG00000039100	3956	3904	4198	3924	2743	3049
ENSMUSG00000022235	26	17	24	22	30	21
ENSMUSG00000022234	7222	6994	6551	6078	6852	7865
ENSMUSG00000039065	629	631	591	530	483	557
ENSMUSG00000045267	0	0	0	0	0	1
ENSMUSG00000090401	18	12	1	4	24	31
ENSMUSG00000089317	0	0	0	0	0	0
ENSMUSG00000022231	5	10	0	1	11	16
ENSMUSG00000022261	249	239	200	192	295	328
ENSMUSG00000039007	1322	1190	781	746	865	984
ENSMUSG00000058101	0	1	0	0	0	2
ENSMUSG00000088062	0	0	1	0	0	0
ENSMUSG00000038984	3	5	4	1	3	3
ENSMUSG00000022255	4034	4025	4095	4101	2480	2892
ENSMUSG00000089072	9	7	9	11	4	5
ENSMUSG00000022257	1947	1846	1876	1703	2154	2378
ENSMUSG00000084738	4	5	1	2	1	2
ENSMUSG00000022324	55	50	38	36	70	79
ENSMUSG00000058600	15288	14730	14184	12628	17110	19263
ENSMUSG00000065899	0	0	0	0	0	0
ENSMUSG00000044726	2	4	8	8	3	9
ENSMUSG00000022323	391	326	475	441	417	438
ENSMUSG00000022325	469	454	560	545	439	489
ENSMUSG00000084607	1	2	2	0	2	3
ENSMUSG00000038879	1	2	0	0	0	2
ENSMUSG00000050963	1	1	0	0	0	0
ENSMUSG00000022329	878	917	787	792	671	704
ENSMUSG00000022330	0	1	0	0	4	2
ENSMUSG00000037646	3980	3884	3839	3671	1825	1880
ENSMUSG00000089133	0	0	0	0	1	0
ENSMUSG00000076333	0	0	0	1	0	0
ENSMUSG00000077890	0	0	0	0	0	0
ENSMUSG00000014313	4136	3789	3920	3671	4476	4858
ENSMUSG00000037627	3	0	0	0	4	2
ENSMUSG00000088786	0	0	0	0	1	0
ENSMUSG00000092230	0	0	1	0	2	2
ENSMUSG00000048230	2	0	3	7	1	5
ENSMUSG00000064543	0	0	0	0	0	0
ENSMUSG00000045996	728	644	634	639	706	813
ENSMUSG00000037617	143	135	131	112	74	87
ENSMUSG00000088201	0	0	0	0	0	0
ENSMUSG00000022280	3148	3058	3233	3036	2450	2780
ENSMUSG00000068579	5	5	5	4	8	13
ENSMUSG00000048307	1412	1298	1379	1313	1152	1345
ENSMUSG00000013611	1	3	3	4	5	8
ENSMUSG00000022283	34030	34570	33581	31576	27679	30790
ENSMUSG00000022285	17821	17322	16332	15363	14935	16725
ENSMUSG00000093021	0	0	0	0	0	0
ENSMUSG00000072618	36	41	27	42	43	45
ENSMUSG00000062397	4412	4088	3765	3458	4016	4358
ENSMUSG00000086388	0	0	0	1	3	1
ENSMUSG00000089804	0	1	0	0	1	1
ENSMUSG00000022286	11	6	1	1	13	9
ENSMUSG00000089949	0	0	0	0	0	2
ENSMUSG00000089811	0	0	0	0	0	0
ENSMUSG00000051359	30	28	13	24	30	51
ENSMUSG00000080408	0	0	0	0	0	0
ENSMUSG00000086992	0	0	0	0	0	2
ENSMUSG00000084316	0	0	0	0	0	0
ENSMUSG00000022288	0	0	0	0	0	0
ENSMUSG00000084382	0	0	0	0	0	1
ENSMUSG00000080425	0	0	0	0	0	0
ENSMUSG00000086125	0	0	0	0	0	0
ENSMUSG00000086313	0	0	0	0	1	0
ENSMUSG00000022292	657	581	583	546	382	412
ENSMUSG00000085442	87	98	67	59	67	76
ENSMUSG00000037487	7786	7418	7475	6966	4202	4710
ENSMUSG00000065852	0	0	0	0	1	0
ENSMUSG00000061923	0	0	0	0	0	0
ENSMUSG00000076032	0	0	0	0	0	0
ENSMUSG00000091728	0	0	2	0	0	1
ENSMUSG00000037465	3403	3205	2058	1972	2139	2326
ENSMUSG00000090879	7	6	9	9	6	13
ENSMUSG00000037458	4154	3778	3848	3794	2875	3233
ENSMUSG00000022295	8341	7971	8137	7448	7743	8494
ENSMUSG00000091397	0	0	0	0	0	0
ENSMUSG00000022296	15	8	10	10	13	17
ENSMUSG00000022297	7	4	7	7	11	7
ENSMUSG00000077470	0	0	0	0	0	0
ENSMUSG00000054196	9	10	2	4	15	20
ENSMUSG00000022299	404	378	353	364	272	312
ENSMUSG00000022300	1605	1599	1432	1261	1468	1622
ENSMUSG00000084562	1	3	3	2	5	8
ENSMUSG00000037386	17	15	6	6	12	8
ENSMUSG00000076029	0	0	0	0	0	0
ENSMUSG00000022303	712	718	1530	1524	698	770
ENSMUSG00000022304	39	43	45	67	36	55
ENSMUSG00000087695	1	1	3	2	2	5
ENSMUSG00000022305	8708	8091	6859	6365	5337	5927
ENSMUSG00000092855	0	0	0	0	0	0
ENSMUSG00000056332	0	1	0	0	1	2
ENSMUSG00000022306	5	10	4	0	6	9
ENSMUSG00000048559	0	0	0	0	0	0
ENSMUSG00000022307	2560	2494	2034	1922	1501	1586
ENSMUSG00000086242	3	1	0	1	2	0
ENSMUSG00000042895	0	1	0	0	2	2
ENSMUSG00000088469	0	0	0	0	1	0
ENSMUSG00000022309	50	49	23	24	29	40
ENSMUSG00000091009	1	0	0	0	0	0
ENSMUSG00000051920	27	38	8	5	35	41
ENSMUSG00000087905	0	0	0	0	0	0
ENSMUSG00000022336	6558	6304	6054	5572	5913	6491
ENSMUSG00000072592	0	0	1	1	2	1
ENSMUSG00000022337	2108	2021	1942	1869	1816	2046
ENSMUSG00000088831	0	0	0	0	0	0
ENSMUSG00000054409	3	4	1	3	2	3
ENSMUSG00000038760	0	2	0	0	1	2
ENSMUSG00000088756	0	0	0	0	0	0
ENSMUSG00000077181	0	0	0	0	0	0
ENSMUSG00000038736	405	401	427	370	344	391
ENSMUSG00000022338	754	748	627	586	768	764
ENSMUSG00000065855	19	15	31	18	12	11
ENSMUSG00000038725	1	1	0	0	0	5
ENSMUSG00000022339	714	721	587	560	578	542
ENSMUSG00000022340	3	2	0	0	3	2
ENSMUSG00000085947	0	0	0	0	0	0
ENSMUSG00000060530	0	1	0	0	0	0
ENSMUSG00000090446	0	0	0	0	0	0
ENSMUSG00000089137	0	0	0	0	0	0
ENSMUSG00000089589	0	0	0	0	0	0
ENSMUSG00000058463	0	0	0	0	0	0
ENSMUSG00000022342	1	1	0	0	0	1
ENSMUSG00000065312	0	0	0	0	0	0
ENSMUSG00000092643	0	0	0	0	0	0
ENSMUSG00000051198	0	0	0	0	0	0
ENSMUSG00000088679	0	0	0	0	0	0
ENSMUSG00000022311	1	1	0	0	3	2
ENSMUSG00000089828	32	28	23	18	21	15
ENSMUSG00000077752	0	0	0	0	0	0
ENSMUSG00000065742	0	0	0	0	0	0
ENSMUSG00000089314	0	0	0	0	0	0
ENSMUSG00000088013	0	0	0	0	0	0
ENSMUSG00000088023	0	0	0	0	0	0
ENSMUSG00000065760	0	0	0	0	0	0
ENSMUSG00000038679	2278	2300	1977	1879	1060	1219
ENSMUSG00000084458	0	2	1	2	0	2
ENSMUSG00000022312	7990	8075	7657	6764	7274	8166
ENSMUSG00000022313	626	566	550	498	510	549
ENSMUSG00000022314	5667	5700	5526	5227	4450	4935
ENSMUSG00000068522	2	2	1	4	0	0
ENSMUSG00000022315	0	0	0	0	0	2
ENSMUSG00000057262	35	24	26	30	38	41
ENSMUSG00000088830	0	0	0	0	0	0
ENSMUSG00000077165	0	0	0	0	0	0
ENSMUSG00000038622	597	543	548	530	650	710
ENSMUSG00000061731	1774	1802	2909	2676	1409	1647
ENSMUSG00000058656	5	2	2	2	1	4
ENSMUSG00000077567	1	0	0	0	0	0
ENSMUSG00000072584	0	0	0	0	1	1
ENSMUSG00000063727	12	14	3	4	10	25
ENSMUSG00000050978	0	0	0	0	0	0
ENSMUSG00000038591	0	2	0	0	4	0
ENSMUSG00000024479	0	0	0	0	1	1
ENSMUSG00000037362	150	161	157	132	153	163
ENSMUSG00000022425	258	298	66	50	303	316
ENSMUSG00000086024	0	0	0	0	1	1
ENSMUSG00000037343	1455	1485	1500	1482	938	1044
ENSMUSG00000022422	51	35	43	46	25	45
ENSMUSG00000053749	52	52	44	29	48	38
ENSMUSG00000022419	1480	1512	1360	1248	845	890
ENSMUSG00000088486	0	0	0	0	0	0
ENSMUSG00000022371	18	16	20	22	18	21
ENSMUSG00000022370	1593	1572	1792	1682	1796	2042
ENSMUSG00000022369	297	301	394	378	222	270
ENSMUSG00000060429	204	180	168	191	80	93
ENSMUSG00000022367	51	48	8	11	40	52
ENSMUSG00000086541	1	0	2	0	1	4
ENSMUSG00000089448	0	0	0	0	0	0
ENSMUSG00000065157	0	0	0	0	0	0
ENSMUSG00000022366	1	0	0	0	1	1
ENSMUSG00000071757	0	0	0	0	0	0
ENSMUSG00000093496	0	0	0	0	0	0
ENSMUSG00000090002	1	0	1	1	1	0
ENSMUSG00000047807	1	2	7	2	4	2
ENSMUSG00000093737	0	0	0	0	0	0
ENSMUSG00000022365	5947	5733	5351	4710	4749	5523
ENSMUSG00000022364	619	597	625	567	384	395
ENSMUSG00000051225	5	4	1	2	10	8
ENSMUSG00000022362	1066	1041	1063	900	1230	1358
ENSMUSG00000064597	1	1	0	0	0	1
ENSMUSG00000022361	2474	2377	2291	2099	1786	1898
ENSMUSG00000022360	1261	1226	1612	1384	834	953
ENSMUSG00000022359	750	735	871	776	680	749
ENSMUSG00000089504	2	0	0	1	0	0
ENSMUSG00000080461	3	0	3	4	2	1
ENSMUSG00000022358	1441	1309	1531	1408	1255	1456
ENSMUSG00000086801	4	4	2	6	10	6
ENSMUSG00000022357	2	6	1	3	3	2
ENSMUSG00000055114	9	11	14	9	11	11
ENSMUSG00000037119	4853	4652	4487	4181	2976	3279
ENSMUSG00000037106	13	12	7	10	11	18
ENSMUSG00000084485	0	0	0	0	0	0
ENSMUSG00000093677	105	75	78	64	108	100
ENSMUSG00000062373	3277	3077	2376	2110	2506	2748
ENSMUSG00000065049	0	0	0	0	0	0
ENSMUSG00000061490	0	0	0	0	0	1
ENSMUSG00000037085	400	391	362	313	365	410
ENSMUSG00000037075	2340	2298	1532	1419	1296	1454
ENSMUSG00000050891	263	236	270	216	203	237
ENSMUSG00000022354	2805	2649	2551	2347	2843	3222
ENSMUSG00000022353	5699	5533	7339	7031	3997	4402
ENSMUSG00000025922	6	5	3	7	2	11
ENSMUSG00000022351	1685	1623	1811	1676	1715	1931
ENSMUSG00000022350	3907	3903	3916	3626	2781	3123
ENSMUSG00000059586	1079	1099	920	881	868	1030
ENSMUSG00000032501	1704	1628	883	908	791	883
ENSMUSG00000071750	0	0	0	0	1	0
ENSMUSG00000071749	1	1	0	0	5	3
ENSMUSG00000077511	0	0	0	0	1	0
ENSMUSG00000077627	0	1	0	0	0	0
ENSMUSG00000072568	1194	1176	966	803	740	802
ENSMUSG00000044513	56	63	37	43	64	62
ENSMUSG00000022347	0	0	0	1	2	0
ENSMUSG00000065812	0	0	0	0	0	0
ENSMUSG00000022346	493	557	464	439	438	488
ENSMUSG00000072566	125	98	128	109	99	101
ENSMUSG00000056590	0	1	0	1	2	2
ENSMUSG00000093058	0	0	0	0	0	0
ENSMUSG00000088897	0	0	0	0	0	0
ENSMUSG00000088828	0	0	0	0	0	0
ENSMUSG00000079025	3	0	0	2	0	1
ENSMUSG00000056293	1	1	0	0	0	3
ENSMUSG00000062543	0	2	0	0	1	0
ENSMUSG00000055827	0	0	0	0	0	1
ENSMUSG00000055748	15	9	7	8	2	7
ENSMUSG00000022378	8900	8412	6313	5947	6437	7103
ENSMUSG00000065936	0	0	0	0	0	0
ENSMUSG00000022377	8536	8446	10055	9242	6336	6974
ENSMUSG00000093695	19	13	20	15	5	11
ENSMUSG00000022376	2	0	1	1	3	6
ENSMUSG00000072541	0	0	0	0	0	0
ENSMUSG00000077783	0	0	0	0	0	0
ENSMUSG00000015002	3965	3830	3294	3173	2325	2725
ENSMUSG00000092495	9	13	8	3	2	1
ENSMUSG00000015001	1	0	0	1	3	2
ENSMUSG00000072511	0	0	0	0	1	1
ENSMUSG00000092454	0	0	0	0	0	1
ENSMUSG00000056258	6	8	12	11	3	3
ENSMUSG00000022375	0	0	0	0	1	1
ENSMUSG00000036944	695	620	769	723	434	514
ENSMUSG00000072501	1985	2015	1947	1817	734	817
ENSMUSG00000053469	23	22	28	19	14	30
ENSMUSG00000090464	0	0	0	0	0	0
ENSMUSG00000022372	2271	2264	1862	1800	1700	1846
ENSMUSG00000005124	83	57	9	9	65	65
ENSMUSG00000005125	2588	2339	2465	2243	2327	2705
ENSMUSG00000091479	0	0	0	0	0	0
ENSMUSG00000091412	4	3	1	1	2	2
ENSMUSG00000088130	0	0	0	0	0	0
ENSMUSG00000013846	5559	5219	5195	4793	3736	4240
ENSMUSG00000022335	466	451	443	411	349	387
ENSMUSG00000068397	0	0	0	0	1	0
ENSMUSG00000065476	0	0	0	0	0	0
ENSMUSG00000093387	7	1	2	1	2	2
ENSMUSG00000065437	0	0	0	0	0	0
ENSMUSG00000065168	0	0	0	0	0	0
ENSMUSG00000080426	0	0	0	0	0	0
ENSMUSG00000069996	1	0	0	0	0	0
ENSMUSG00000022332	31	41	18	20	56	63
ENSMUSG00000077502	0	0	0	0	0	0
ENSMUSG00000087805	0	0	0	0	0	0
ENSMUSG00000088667	0	0	0	0	0	0
ENSMUSG00000089240	0	0	0	0	0	0
ENSMUSG00000080689	0	0	0	0	0	0
ENSMUSG00000036800	2	0	0	0	3	1
ENSMUSG00000088895	0	0	0	0	0	0
ENSMUSG00000079022	6	8	0	0	7	13
ENSMUSG00000090237	2	0	0	0	3	0
ENSMUSG00000064608	1	0	0	0	0	0
ENSMUSG00000087713	0	0	0	0	0	0
ENSMUSG00000036760	0	0	0	0	1	1
ENSMUSG00000047921	1599	1555	1438	1311	1326	1428
ENSMUSG00000078297	3	8	3	6	3	8
ENSMUSG00000068391	1463	1397	1351	1272	1310	1514
ENSMUSG00000093631	480	480	609	555	685	735
