	seqnames	start	end	width	strand	name	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0357.ENSMUSG00000090384	chr4	9818801	9819399	599	*	48	0357	ENSMUSG00000090384	9848137	9854979	-	downstream	35879	28738	NearestLocation
X0358.ENSMUSG00000059482	chr4	10592801	10594199	1399	*	43	0358	ENSMUSG00000059482	10801645	10801919	+	upstream	-208145	207446	NearestLocation
X0359.ENSMUSG00000028252	chr4	21650401	21650999	599	*	37	0359	ENSMUSG00000028252	21654848	21655062	+	upstream	-4148	3849	NearestLocation
X0360.ENSMUSG00000028246	chr4	21869001	21870599	1599	*	34	0360	ENSMUSG00000028246	21858478	21858976	+	downstream	11322	10025	NearestLocation
X0361.ENSMUSG00000028246	chr4	21875001	21877399	2399	*	56	0361	ENSMUSG00000028246	21858478	21858976	+	downstream	17722	16025	NearestLocation
X0362.ENSMUSG00000052621	chr4	22996601	22997999	1399	*	34	0362	ENSMUSG00000052621	22413791	22415480	-	upstream	-581820	581121	NearestLocation
X0363.ENSMUSG00000028289	chr4	29035401	29036399	999	*	33	0363	ENSMUSG00000028289	28740281	28740630	+	downstream	295619	294771	NearestLocation
X0364.ENSMUSG00000028278	chr4	33069401	33070599	1199	*	34	0364	ENSMUSG00000028278	33070012	33070582	+	includeFeature	-12	17	NearestLocation
X0365.ENSMUSG00000028287	chr4	39328401	39329199	799	*	29	0365	ENSMUSG00000028287	39397328	39397566	+	upstream	-68528	68129	NearestLocation
X0366.ENSMUSG00000028287	chr4	39387201	39387599	399	*	26	0366	ENSMUSG00000028287	39397328	39397566	+	upstream	-9928	9729	NearestLocation
X0367.ENSMUSG00000036822	chr4	40215801	40217599	1799	*	46	0367	ENSMUSG00000036822	40216707	40216883	-	includeFeature	183	716	NearestLocation
X0368.ENSMUSG00000036241	chr4	41082601	41084999	2399	*	63	0368	ENSMUSG00000036241	41082776	41083279	+	includeFeature	1024	175	NearestLocation
X0369.ENSMUSG00000028433	chr4	41164401	41166399	1999	*	43	0369	ENSMUSG00000028433	41222073	41222177	-	downstream	56777	55674	NearestLocation
X0370.ENSMUSG00000028433	chr4	41219801	41221399	1599	*	47	0370	ENSMUSG00000028433	41222073	41222177	-	downstream	1577	674	NearestLocation
X0371.ENSMUSG00000028437	chr4	41296001	41296799	799	*	42	0371	ENSMUSG00000028437	41296029	41296264	+	includeFeature	371	28	NearestLocation
X0372.ENSMUSG00000061322	chr4	41574401	41575399	999	*	44	0372	ENSMUSG00000061322	41516808	41517051	+	downstream	58092	57350	NearestLocation
X0373.ENSMUSG00000036073	chr4	41707401	41709799	2399	*	62	0373	ENSMUSG00000036073	41702101	41702525	+	downstream	6499	4876	NearestLocation
X0374.ENSMUSG00000028457	chr4	43306001	43306999	999	*	28	0374	ENSMUSG00000028457	43280057	43280114	+	downstream	26443	25887	NearestLocation
X0375.ENSMUSG00000028470	chr4	43671401	43672799	1399	*	39	0375	ENSMUSG00000028470	43669231	43669338	-	upstream	-2762	2063	NearestLocation
X0376.ENSMUSG00000028479	chr4	44101001	44102999	1999	*	55	0376	ENSMUSG00000028479	44068077	44068169	-	upstream	-33831	32832	NearestLocation
X0377.ENSMUSG00000035649	chr4	44767601	44768999	1399	*	39	0377	ENSMUSG00000035649	44769519	44769564	+	upstream	-1219	520	NearestLocation
X0378.ENSMUSG00000039809	chr4	46842201	46842999	799	*	36	0378	ENSMUSG00000039809	47003980	47004745	-	downstream	162145	160981	NearestLocation
X0379.ENSMUSG00000039809	chr4	46967201	46967599	399	*	26	0379	ENSMUSG00000039809	47003980	47004745	-	downstream	37345	36381	NearestLocation
X0380.ENSMUSG00000053317	chr4	47530801	47531799	999	*	33	0380	ENSMUSG00000053317	47487530	47487625	+	downstream	43770	43176	NearestLocation
X0381.ENSMUSG00000063446	chr4	49098601	49100599	1999	*	38	0381	ENSMUSG00000063446	49072154	49072489	+	downstream	27446	26112	NearestLocation
X0382.ENSMUSG00000028420	chr4	54239201	54239599	399	*	23	0382	ENSMUSG00000028420	53838917	53839092	+	downstream	400483	400109	NearestLocation
X0383.ENSMUSG00000060206	chr4	54960201	54963599	3399	*	153	0383	ENSMUSG00000060206	54957920	54957973	+	downstream	3980	2228	NearestLocation
X0384.ENSMUSG00000060206	chr4	55146201	55147799	1599	*	36	0384	ENSMUSG00000060206	54957920	54957973	+	downstream	189080	188228	NearestLocation
X0385.ENSMUSG00000052117	chr4	57928601	57928999	399	*	34	0385	ENSMUSG00000052117	57928469	57929169	-	inside	369	132	NearestLocation
X0386.ENSMUSG00000057280	chr4	58356601	58357999	1399	*	37	0386	ENSMUSG00000057280	58298834	58299062	+	downstream	58466	57539	NearestLocation
X0387.ENSMUSG00000028394	chr4	62184801	62186799	1999	*	44	0387	ENSMUSG00000028394	62185965	62186102	-	includeFeature	302	697	NearestLocation
X0387.ENSMUSG00000058046	chr4	62184801	62186799	1999	*	44	0387	ENSMUSG00000058046	62186403	62186430	+	includeFeature	-603	369	NearestLocation
X0388.ENSMUSG00000051675	chr4	65266001	65266999	999	*	45	0388	ENSMUSG00000051675	65266020	65266103	+	includeFeature	480	19	NearestLocation
X0389.ENSMUSG00000028351	chr4	67882601	67885199	2599	*	51	0389	ENSMUSG00000028351	68615048	68615431	-	downstream	731531	729849	NearestLocation
X0390.ENSMUSG00000039298	chr4	70070201	70071199	999	*	25	0390	ENSMUSG00000039298	70071246	70071452	-	downstream	752	47	NearestLocation
X0391.ENSMUSG00000039270	chr4	70297801	70301599	3799	*	165	0391	ENSMUSG00000039270	70195262	70196029	-	upstream	-103671	101772	NearestLocation
X0392.ENSMUSG00000008305	chr4	72160201	72161799	1599	*	41	0392	ENSMUSG00000008305	71861016	71861953	-	upstream	-299047	298248	NearestLocation
X0393.ENSMUSG00000028397	chr4	73904601	73906799	2199	*	61	0393	ENSMUSG00000028397	73888401	73888544	+	downstream	17299	16057	NearestLocation
X0394.ENSMUSG00000028398	chr4	74636001	74638599	2599	*	44	0394	ENSMUSG00000028398	74923885	74924209	-	downstream	286909	285286	NearestLocation
X0395.ENSMUSG00000066116	chr4	83150201	83150799	599	*	26	0395	ENSMUSG00000066116	83151051	83151458	-	downstream	958	252	NearestLocation
X0396.ENSMUSG00000038368	chr4	87764801	87766199	1399	*	29	0396	ENSMUSG00000038368	87740534	87740579	+	downstream	24966	24222	NearestLocation
X0397.ENSMUSG00000043753	chr4	89451401	89451799	399	*	27	0397	ENSMUSG00000043753	89354889	89355630	+	downstream	96711	95771	NearestLocation
X0398.ENSMUSG00000008489	chr4	91172201	91173599	1399	*	41	0398	ENSMUSG00000008489	91042627	91043154	-	upstream	-129746	129047	NearestLocation
X0399.ENSMUSG00000028573	chr4	94987801	94989199	1399	*	46	0399	ENSMUSG00000028573	95251935	95252138	+	upstream	-263435	262736	NearestLocation
X0400.ENSMUSG00000028573	chr4	95030001	95030999	999	*	37	0400	ENSMUSG00000028573	95251935	95252138	+	upstream	-221435	220936	NearestLocation
X0401.ENSMUSG00000028565	chr4	97439001	97439399	399	*	30	0401	ENSMUSG00000028565	97439425	97439602	+	upstream	-225	26	NearestLocation
X0402.ENSMUSG00000028527	chr4	101028801	101029999	1199	*	31	0402	ENSMUSG00000028527	101091882	101091975	+	upstream	-62482	61883	NearestLocation
X0403.ENSMUSG00000066090	chr4	102731801	102733599	1799	*	42	0403	ENSMUSG00000066090	102699123	102699342	-	upstream	-33358	32459	NearestLocation
X0404.ENSMUSG00000028514	chr4	105763601	105764599	999	*	34	0404	ENSMUSG00000028514	105988818	105989391	+	upstream	-224718	224219	NearestLocation
X0405.ENSMUSG00000034853	chr4	106497601	106499399	1799	*	41	0405	ENSMUSG00000034853	106443948	106444161	-	upstream	-54339	53440	NearestLocation
X0406.ENSMUSG00000061887	chr4	106513801	106515199	1399	*	44	0406	ENSMUSG00000061887	106584075	106584517	+	upstream	-69575	68876	NearestLocation
X0407.ENSMUSG00000047636	chr4	106754201	106758599	4399	*	83	0407	ENSMUSG00000047636	106769496	106770391	+	upstream	-13096	10897	NearestLocation
X0408.ENSMUSG00000028617	chr4	106925001	106927199	2199	*	74	0408	ENSMUSG00000028617	106925880	106926137	-	includeFeature	37	879	NearestLocation
X0408.ENSMUSG00000063172	chr4	106925001	106927199	2199	*	74	0408	ENSMUSG00000063172	106926198	106926332	+	includeFeature	-98	867	NearestLocation
X0409.ENSMUSG00000028614	chr4	107040201	107041799	1599	*	38	0409	ENSMUSG00000028614	107040389	107040753	+	includeFeature	611	188	NearestLocation
X0410.ENSMUSG00000034762	chr4	107144801	107146999	2199	*	40	0410	ENSMUSG00000034762	107107222	107107299	+	downstream	38678	37502	NearestLocation
X0411.ENSMUSG00000028610	chr4	107309601	107310799	1199	*	42	0411	ENSMUSG00000028610	107356071	107356185	-	downstream	45985	45272	NearestLocation
X0412.ENSMUSG00000028610	chr4	107361201	107362199	999	*	34	0412	ENSMUSG00000028610	107356071	107356185	-	upstream	-5515	5016	NearestLocation
X0413.ENSMUSG00000028610	chr4	107405401	107406799	1399	*	34	0413	ENSMUSG00000028610	107356071	107356185	-	upstream	-49915	49216	NearestLocation
X0414.ENSMUSG00000028607	chr4	107594801	107595799	999	*	29	0414	ENSMUSG00000028607	107595920	107596215	-	downstream	915	121	NearestLocation
X0415.ENSMUSG00000028552	chr4	108936201	108937199	999	*	37	0415	ENSMUSG00000028552	108952908	108953049	+	upstream	-16208	15709	NearestLocation
X0416.ENSMUSG00000010517	chr4	109475201	109475999	799	*	26	0416	ENSMUSG00000010517	109349193	109349677	+	downstream	126407	125524	NearestLocation
X0417.ENSMUSG00000034171	chr4	115662001	115664399	2399	*	45	0417	ENSMUSG00000034171	115690068	115690531	-	downstream	27331	25669	NearestLocation
X0418.ENSMUSG00000090697	chr4	115723801	115726199	2399	*	79	0418	ENSMUSG00000090697	115723247	115725985	-	overlapStart	985	214	NearestLocation
X0419.ENSMUSG00000028698	chr4	115892001	115894599	2599	*	71	0419	ENSMUSG00000028698	115894223	115894678	+	overlapStart	-923	79	NearestLocation
X0420.ENSMUSG00000073771	chr4	116791801	116794799	2999	*	70	0420	ENSMUSG00000073771	116794824	116794990	-	downstream	1690	25	NearestLocation
X0421.ENSMUSG00000028542	chr4	117508001	117508399	399	*	25	0421	ENSMUSG00000028542	117507938	117508082	+	overlapEnd	262	63	NearestLocation
X0422.ENSMUSG00000033295	chr4	117962601	117963199	599	*	24	0422	ENSMUSG00000033295	117963785	117964010	-	downstream	1110	586	NearestLocation
X0423.ENSMUSG00000006390	chr4	118100801	118102799	1999	*	49	0423	ENSMUSG00000006390	118100698	118100820	+	overlapEnd	1102	19	NearestLocation
X0424.ENSMUSG00000006398	chr4	118109401	118110599	1199	*	42	0424	ENSMUSG00000006398	118109546	118109885	-	includeFeature	-115	145	NearestLocation
X0425.ENSMUSG00000043383	chr4	118368001	118372199	4199	*	84	0425	ENSMUSG00000043383	118362067	118363068	-	upstream	-7032	4933	NearestLocation
X0426.ENSMUSG00000024903	chr4	118699201	118700599	1399	*	39	0426	ENSMUSG00000024903	118634183	118634634	+	downstream	65717	64567	NearestLocation
X0427.ENSMUSG00000028645	chr4	118743801	118745599	1799	*	45	0427	ENSMUSG00000028645	118781560	118781577	+	upstream	-36860	35961	NearestLocation
X0428.ENSMUSG00000060288	chr4	118988401	118989999	1599	*	38	0428	ENSMUSG00000060288	118993014	118993151	-	downstream	3951	3015	NearestLocation
X0429.ENSMUSG00000049878	chr4	120868601	120869199	599	*	25	0429	ENSMUSG00000049878	120860820	120861139	-	upstream	-7761	7462	NearestLocation
X0430.ENSMUSG00000028657	chr4	122448201	122449199	999	*	28	0430	ENSMUSG00000028657	122513493	122513622	+	upstream	-64793	64294	NearestLocation
X0431.ENSMUSG00000028656	chr4	122564201	122568399	4199	*	77	0431	ENSMUSG00000028656	122563076	122563287	-	upstream	-3013	914	NearestLocation
X0432.ENSMUSG00000028647	chr4	123575001	123575799	799	*	28	0432	ENSMUSG00000028647	123582075	123582330	+	upstream	-6675	6276	NearestLocation
X0433.ENSMUSG00000001985	chr4	125134401	125136199	1799	*	45	0433	ENSMUSG00000001985	125167944	125168189	+	upstream	-32644	31745	NearestLocation
X0434.ENSMUSG00000043962	chr4	125879001	125879999	999	*	37	0434	ENSMUSG00000043962	125850688	125850771	-	upstream	-28729	28230	NearestLocation
X0435.ENSMUSG00000041530	chr4	126141401	126142799	1399	*	76	0435	ENSMUSG00000041530	126138929	126139026	-	upstream	-3074	2375	NearestLocation
X0436.ENSMUSG00000028837	chr4	126354401	126354599	199	*	17	0436	ENSMUSG00000028837	126354874	126355089	+	upstream	-374	275	NearestLocation
X0437.ENSMUSG00000028820	chr4	126698801	126699199	399	*	22	0437	ENSMUSG00000028820	126698568	126699464	+	inside	432	233	NearestLocation
X0438.ENSMUSG00000042380	chr4	126945201	126946399	1199	*	60	0438	ENSMUSG00000042380	126921028	126921142	+	downstream	24772	24059	NearestLocation
X0439.ENSMUSG00000048686	chr4	127941601	127943599	1999	*	39	0439	ENSMUSG00000048686	127937457	127938139	-	upstream	-4461	3462	NearestLocation
X0440.ENSMUSG00000048686	chr4	128047001	128049199	2199	*	60	0440	ENSMUSG00000048686	127937457	127938139	-	upstream	-109961	108862	NearestLocation
X0441.ENSMUSG00000062545	chr4	128348001	128349199	1199	*	58	0441	ENSMUSG00000062545	128292690	128295863	-	upstream	-52737	52138	NearestLocation
X0442.ENSMUSG00000040859	chr4	129138801	129141199	2399	*	55	0442	ENSMUSG00000040859	129138916	129138949	+	includeFeature	1084	115	NearestLocation
X0443.ENSMUSG00000040859	chr4	129145201	129146599	1399	*	31	0443	ENSMUSG00000040859	129138916	129138949	+	downstream	6984	6252	NearestLocation
X0444.ENSMUSG00000028800	chr4	129215601	129220599	4999	*	134	0444	ENSMUSG00000028800	129219825	129219957	-	includeFeature	1857	642	NearestLocation
X0445.ENSMUSG00000028790	chr4	129417601	129418599	999	*	50	0445	ENSMUSG00000028790	129419023	129419541	-	downstream	1441	424	NearestLocation
X0446.ENSMUSG00000028790	chr4	129419801	129420599	799	*	44	0446	ENSMUSG00000028790	129419023	129419541	-	upstream	-659	260	NearestLocation
X0447.ENSMUSG00000028788	chr4	129497801	129500999	3199	*	68	0447	ENSMUSG00000028788	129497465	129497845	+	overlapEnd	1935	44	NearestLocation
X0448.ENSMUSG00000040690	chr4	129707601	129708799	1199	*	35	0448	ENSMUSG00000040690	129725206	129725327	+	upstream	-17006	16407	NearestLocation
X0449.ENSMUSG00000023120	chr4	129918601	129919199	599	*	36	0449	ENSMUSG00000023120	129899408	129899645	-	upstream	-19255	18956	NearestLocation
X0450.ENSMUSG00000025743	chr4	130373801	130375799	1999	*	45	0450	ENSMUSG00000025743	130348452	130348717	+	downstream	26348	25084	NearestLocation
X0451.ENSMUSG00000040533	chr4	130918001	130918399	399	*	21	0451	ENSMUSG00000040533	130500300	130500444	+	downstream	417900	417557	NearestLocation
X0452.ENSMUSG00000028909	chr4	131046801	131048799	1999	*	64	0452	ENSMUSG00000028909	131393999	131394203	-	downstream	346403	345200	NearestLocation
X0453.ENSMUSG00000028896	chr4	131908401	131912399	3999	*	96	0453	ENSMUSG00000028896	131901561	131901662	-	upstream	-8738	6739	NearestLocation
X0454.ENSMUSG00000028893	chr4	132068401	132070799	2399	*	49	0454	ENSMUSG00000028893	132065979	132066416	-	upstream	-3184	1985	NearestLocation
X0455.ENSMUSG00000028886	chr4	132194201	132195799	1599	*	35	0455	ENSMUSG00000028886	132194902	132195070	+	includeFeature	98	701	NearestLocation
X0456.ENSMUSG00000037692	chr4	132575601	132576799	1199	*	53	0456	ENSMUSG00000037692	132567421	132567438	+	downstream	8779	8163	NearestLocation
X0457.ENSMUSG00000037692	chr4	132603801	132604599	799	*	54	0457	ENSMUSG00000037692	132567421	132567438	+	downstream	36779	36363	NearestLocation
X0458.ENSMUSG00000028868	chr4	132634801	132636199	1399	*	39	0458	ENSMUSG00000028868	132686420	132686643	+	upstream	-50920	50221	NearestLocation
X0459.ENSMUSG00000007880	chr4	133276401	133276999	599	*	48	0459	ENSMUSG00000007880	133308384	133309526	-	downstream	32826	31385	NearestLocation
X0460.ENSMUSG00000091104	chr4	133367601	133369399	1799	*	49	0460	ENSMUSG00000091104	133419827	133419845	+	upstream	-51327	50428	NearestLocation
X0461.ENSMUSG00000091104	chr4	133371601	133373799	2199	*	50	0461	ENSMUSG00000091104	133419827	133419845	+	upstream	-47127	46028	NearestLocation
X0462.ENSMUSG00000037366	chr4	133952401	133953199	799	*	36	0462	ENSMUSG00000037366	133952235	133952339	+	downstream	565	62	NearestLocation
X0463.ENSMUSG00000028832	chr4	133996801	133998799	1999	*	51	0463	ENSMUSG00000028832	134024235	134024344	+	upstream	-26435	25436	NearestLocation
X0464.ENSMUSG00000037266	chr4	134478601	134479399	799	*	37	0464	ENSMUSG00000037266	134479507	134479682	+	upstream	-507	108	NearestLocation
X0465.ENSMUSG00000028676	chr4	135410201	135414599	4399	*	135	0465	ENSMUSG00000028676	135411662	135412206	+	includeFeature	738	1461	NearestLocation
X0466.ENSMUSG00000028669	chr4	135543201	135543799	599	*	30	0466	ENSMUSG00000028669	135542853	135543179	-	upstream	-321	22	NearestLocation
X0467.ENSMUSG00000007872	chr4	135690601	135691599	999	*	39	0467	ENSMUSG00000007872	135699412	135700093	+	upstream	-8312	7813	NearestLocation
X0468.ENSMUSG00000001089	chr4	136074601	136076599	1999	*	39	0468	ENSMUSG00000001089	136025676	136025765	+	downstream	49924	48836	NearestLocation
X0469.ENSMUSG00000036905	chr4	136438201	136439199	999	*	36	0469	ENSMUSG00000036905	136441958	136442102	-	downstream	3402	2759	NearestLocation
X0470.ENSMUSG00000046447	chr4	138021601	138022399	799	*	30	0470	ENSMUSG00000046447	138010229	138011266	+	downstream	11771	10335	NearestLocation
X0471.ENSMUSG00000040860	chr4	140614801	140615799	999	*	28	0471	ENSMUSG00000040860	140609435	140609637	-	upstream	-5663	5164	NearestLocation
X0472.ENSMUSG00000057637	chr4	142723401	142723799	399	*	31	0472	ENSMUSG00000057637	142802518	142802608	-	downstream	79008	78719	NearestLocation
X0473.ENSMUSG00000078497	chr4	146790801	146792799	1999	*	52	0473	ENSMUSG00000078497	146735412	146735590	+	downstream	56388	55211	NearestLocation
X0474.ENSMUSG00000078160	chr4	146904801	146905999	1199	*	52	0474	ENSMUSG00000078160	146914327	146917609	+	upstream	-8927	8328	NearestLocation
X0475.ENSMUSG00000028977	chr4	148285801	148287199	1399	*	33	0475	ENSMUSG00000028977	148178538	148178623	+	downstream	107962	107178	NearestLocation
X0476.ENSMUSG00000028996	chr4	148839401	148842599	3199	*	83	0476	ENSMUSG00000028996	148827465	148827533	-	upstream	-13467	11868	NearestLocation
X0477.ENSMUSG00000039852	chr4	149697601	149698999	1399	*	48	0477	ENSMUSG00000039852	149655755	149656184	+	downstream	42545	41417	NearestLocation
X0478.ENSMUSG00000014592	chr4	151192201	151193799	1599	*	48	0478	ENSMUSG00000014592	151235734	151235813	-	downstream	42813	41935	NearestLocation
X0479.ENSMUSG00000039768	chr4	151311001	151312999	1999	*	44	0479	ENSMUSG00000039768	151307853	151307933	+	downstream	4147	3068	NearestLocation
X0480.ENSMUSG00000005045	chr4	151716001	151717199	1199	*	61	0480	ENSMUSG00000005045	151712760	151713139	+	downstream	3840	2862	NearestLocation
X0481.ENSMUSG00000039577	chr4	151850801	151851399	599	*	32	0481	ENSMUSG00000039577	151852251	151852548	+	upstream	-1151	852	NearestLocation
X0482.ENSMUSG00000039577	chr4	151947801	151948399	599	*	33	0482	ENSMUSG00000039577	151852251	151852548	+	downstream	95849	95253	NearestLocation
X0483.ENSMUSG00000029063	chr4	154936601	154937399	799	*	24	0483	ENSMUSG00000029063	154936487	154936564	+	downstream	513	37	NearestLocation
X0484.ENSMUSG00000041936	chr4	155560001	155560999	999	*	31	0484	ENSMUSG00000041936	155559660	155560010	-	overlapStart	-490	9	NearestLocation
X0485.ENSMUSG00000040429	chr5	3927201	3928199	999	*	34	0485	ENSMUSG00000040429	3893875	3893933	-	upstream	-33767	33268	NearestLocation
X0486.ENSMUSG00000053178	chr5	4290401	4291599	1199	*	39	0486	ENSMUSG00000053178	4192360	4192418	+	downstream	98640	97983	NearestLocation
X0487.ENSMUSG00000069355	chr5	10446401	10446799	399	*	22	0487	ENSMUSG00000069355	10246388	10246492	-	upstream	-200108	199909	NearestLocation
X0488.ENSMUSG00000039899	chr5	20872601	20874599	1999	*	49	0488	ENSMUSG00000039899	20878460	20879126	+	upstream	-4860	3861	NearestLocation
X0489.ENSMUSG00000038319	chr5	23848001	23850799	2799	*	70	0489	ENSMUSG00000038319	23834983	23835409	-	upstream	-13991	12592	NearestLocation
X0490.ENSMUSG00000028973	chr5	23899001	23901199	2199	*	43	0490	ENSMUSG00000028973	23899481	23899520	+	includeFeature	619	480	NearestLocation
X0491.ENSMUSG00000028949	chr5	24129001	24130199	1199	*	61	0491	ENSMUSG00000028949	24107599	24107830	-	upstream	-21770	21171	NearestLocation
X0492.ENSMUSG00000044681	chr5	28585801	28586599	799	*	31	0492	ENSMUSG00000044681	28572248	28572332	-	upstream	-13868	13469	NearestLocation
X0493.ENSMUSG00000048271	chr5	28621601	28622399	799	*	22	0493	ENSMUSG00000048271	28643661	28643950	+	upstream	-21661	21262	NearestLocation
X0494.ENSMUSG00000025746	chr5	30266801	30267399	599	*	25	0494	ENSMUSG00000025746	30339701	30339750	+	upstream	-72601	72302	NearestLocation
X0495.ENSMUSG00000029151	chr5	31390001	31391999	1999	*	44	0495	ENSMUSG00000029151	31395636	31395988	-	downstream	4988	3637	NearestLocation
X0496.ENSMUSG00000029147	chr5	31522601	31523999	1399	*	35	0496	ENSMUSG00000029147	31522676	31522918	-	includeFeature	-382	75	NearestLocation
X0497.ENSMUSG00000037339	chr5	33947401	33948799	1399	*	35	0497	ENSMUSG00000037339	33971986	33972237	-	downstream	24137	23187	NearestLocation
X0498.ENSMUSG00000070858	chr5	34329201	34329799	599	*	28	0498	ENSMUSG00000070858	34326159	34326213	+	downstream	3341	2988	NearestLocation
X0499.ENSMUSG00000029096	chr5	36004801	36006399	1599	*	67	0499	ENSMUSG00000029096	36021593	36022431	-	downstream	16831	15194	NearestLocation
X0500.ENSMUSG00000029094	chr5	36390001	36390999	999	*	31	0500	ENSMUSG00000029094	36235968	36236189	+	downstream	154532	153812	NearestLocation
X0501.ENSMUSG00000043430	chr5	36561201	36562399	1199	*	33	0501	ENSMUSG00000043430	36546670	36549217	+	downstream	15130	11984	NearestLocation
X0502.ENSMUSG00000051022	chr5	39949201	39950399	1199	*	27	0502	ENSMUSG00000051022	40146549	40146714	-	downstream	196914	196150	NearestLocation
X0503.ENSMUSG00000029128	chr5	42035801	42037599	1799	*	37	0503	ENSMUSG00000029128	42099144	42099394	-	downstream	62694	61545	NearestLocation
X0504.ENSMUSG00000061755	chr5	42288001	42289599	1599	*	53	0504	ENSMUSG00000061755	42235171	42235407	-	upstream	-53393	52594	NearestLocation
X0505.ENSMUSG00000061535	chr5	43790801	43791999	1199	*	32	0505	ENSMUSG00000061535	43906808	43907225	+	upstream	-115408	114809	NearestLocation
X0506.ENSMUSG00000029176	chr5	53195601	53197399	1799	*	39	0506	ENSMUSG00000029176	53225365	53225631	+	upstream	-28865	27966	NearestLocation
X0507.ENSMUSG00000029203	chr5	65928401	65929199	799	*	34	0507	ENSMUSG00000029203	65928591	65928785	+	includeFeature	209	190	NearestLocation
X0508.ENSMUSG00000029207	chr5	66974401	66975199	799	*	34	0508	ENSMUSG00000029207	67009807	67010067	-	downstream	35267	34608	NearestLocation
X0509.ENSMUSG00000029155	chr5	74194401	74195399	999	*	38	0509	ENSMUSG00000029155	74042619	74042911	+	downstream	152281	151490	NearestLocation
X0510.ENSMUSG00000029245	chr5	85137801	85138799	999	*	28	0510	ENSMUSG00000029245	84845344	84845831	-	upstream	-292469	291970	NearestLocation
X0511.ENSMUSG00000006262	chr5	89148801	89151199	2399	*	65	0511	ENSMUSG00000006262	89149880	89150146	+	includeFeature	120	1053	NearestLocation
X0512.ENSMUSG00000055204	chr5	90794001	90796199	2199	*	62	0512	ENSMUSG00000055204	90795002	90795211	-	includeFeature	111	988	NearestLocation
X0512.ENSMUSG00000054945	chr5	90794001	90796199	2199	*	62	0512	ENSMUSG00000054945	90796230	90797513	+	upstream	-1130	31	Overlapping
X0513.ENSMUSG00000029371	chr5	91175801	91176799	999	*	25	0513	ENSMUSG00000029371	91188325	91188586	+	upstream	-12025	11526	NearestLocation
X0514.ENSMUSG00000029381	chr5	93131001	93131799	799	*	28	0514	ENSMUSG00000029381	93112461	93112857	+	downstream	18939	18144	NearestLocation
X0515.ENSMUSG00000045314	chr5	93354401	93355999	1599	*	38	0515	ENSMUSG00000045314	93470149	93474048	-	downstream	118848	114150	NearestLocation
X0516.ENSMUSG00000034724	chr5	96584001	96584399	399	*	23	0516	ENSMUSG00000034724	96590711	96590774	-	downstream	6574	6312	NearestLocation
X0517.ENSMUSG00000034724	chr5	96590401	96592999	2599	*	75	0517	ENSMUSG00000034724	96590711	96590774	-	includeFeature	-926	310	NearestLocation
X0518.ENSMUSG00000029486	chr5	96663201	96664799	1599	*	52	0518	ENSMUSG00000029486	96638512	96638584	+	downstream	25488	24617	NearestLocation
X0519.ENSMUSG00000050553	chr5	98147401	98150599	3199	*	70	0519	ENSMUSG00000050553	97884180	97886027	-	upstream	-262973	261374	NearestLocation
X0520.ENSMUSG00000035364	chr5	100407401	100407999	599	*	32	0520	ENSMUSG00000035364	100408080	100408682	+	upstream	-380	81	NearestLocation
X0521.ENSMUSG00000035364	chr5	100413401	100415599	2199	*	66	0521	ENSMUSG00000035364	100408080	100408682	+	downstream	6420	4719	NearestLocation
X0522.ENSMUSG00000029328	chr5	100466601	100469599	2999	*	58	0522	ENSMUSG00000029328	100467739	100468683	-	includeFeature	583	916	NearestLocation
X0522.ENSMUSG00000029326	chr5	100466601	100469599	2999	*	58	0522	ENSMUSG00000029326	100469013	100469321	+	includeFeature	-913	278	NearestLocation
X0523.ENSMUSG00000035187	chr5	101727201	101728799	1599	*	43	0523	ENSMUSG00000035187	102092581	102094245	-	downstream	366245	363782	NearestLocation
X0524.ENSMUSG00000046709	chr5	103609001	103610199	1199	*	46	0524	ENSMUSG00000046709	103639909	103640353	-	downstream	30753	29710	NearestLocation
X0525.ENSMUSG00000079363	chr5	105567801	105569599	1799	*	42	0525	ENSMUSG00000079363	105568499	105568605	-	includeFeature	-95	698	NearestLocation
X0526.ENSMUSG00000046079	chr5	106129601	106130599	999	*	30	0526	ENSMUSG00000046079	106128988	106129273	+	downstream	1112	328	NearestLocation
X0527.ENSMUSG00000029290	chr5	106556801	106558199	1399	*	43	0527	ENSMUSG00000029290	106305595	106305717	+	downstream	251905	251084	NearestLocation
X0528.ENSMUSG00000091096	chr5	107029201	107032199	2999	*	59	0528	ENSMUSG00000091096	107038117	107038169	+	upstream	-7417	5918	NearestLocation
X0529.ENSMUSG00000029267	chr5	108494801	108495599	799	*	47	0529	ENSMUSG00000029267	108494730	108494984	+	overlapEnd	470	71	NearestLocation
X0530.ENSMUSG00000090015	chr5	110275801	110276599	799	*	29	0530	ENSMUSG00000090015	110352419	110352785	+	upstream	-76219	75820	NearestLocation
X0531.ENSMUSG00000064247	chr5	110529001	110531199	2199	*	49	0531	ENSMUSG00000064247	110529578	110529639	+	includeFeature	522	577	NearestLocation
X0532.ENSMUSG00000033434	chr5	110536401	110539599	3199	*	104	0532	ENSMUSG00000033434	110536875	110537216	-	includeFeature	-784	474	NearestLocation
X0532.ENSMUSG00000023284	chr5	110536401	110539599	3199	*	104	0532	ENSMUSG00000023284	110539111	110539336	+	includeFeature	-1111	263	NearestLocation
