	seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0419.ENSMUSG00000021136	chr12	82205447	82206005	559	*	0419	ENSMUSG00000021136	82127795	82128145	+	downstream	77931	77302	NearestLocation
X0420.ENSMUSG00000021223	chr12	85104269	85105210	942	*	0420	ENSMUSG00000021223	85104584	85104666	+	includeFeature	156	315	NearestLocation
X0421.ENSMUSG00000037594	chr12	114035812	114036736	925	*	0421	ENSMUSG00000037594	114047186	114048019	+	upstream	-10912	10450	NearestLocation
X0422.ENSMUSG00000021070	chr12	106705949	106706725	777	*	0422	ENSMUSG00000021070	106801382	106801458	+	upstream	-95045	94657	NearestLocation
X0423.ENSMUSG00000037904	chr12	112214762	112215747	986	*	0423	ENSMUSG00000037904	112217050	112217250	-	downstream	1996	1303	NearestLocation
X0424.ENSMUSG00000051721	chr12	4856988	4857744	757	*	0424	ENSMUSG00000051721	4850109	4850257	+	downstream	7257	6731	NearestLocation
X0425.ENSMUSG00000085925	chr12	110848198	110848624	427	*	0425	ENSMUSG00000085925	110838479	110838540	-	upstream	-9871	9658	NearestLocation
X0426.ENSMUSG00000021294	chr12	113417066	113417750	685	*	0426	ENSMUSG00000021294	113384446	113384617	+	downstream	32962	32449	NearestLocation
X0427.ENSMUSG00000075707	chr12	111320851	111321714	864	*	0427	ENSMUSG00000075707	111517278	111519307	+	upstream	-195996	195564	NearestLocation
X0428.ENSMUSG00000036655	chr12	29292377	29292911	535	*	0428	ENSMUSG00000036655	29308099	29308155	-	downstream	15511	15188	NearestLocation
X0429.ENSMUSG00000036523	chr12	16708955	16709600	646	*	0429	ENSMUSG00000036523	16718479	16718579	-	downstream	9301	8879	NearestLocation
X0430.ENSMUSG00000052812	chr12	5144262	5144782	521	*	0430	ENSMUSG00000052812	4924210	4924727	+	downstream	220312	219535	NearestLocation
X0431.ENSMUSG00000037660	chr12	8304574	8305054	481	*	0431	ENSMUSG00000037660	8308373	8308760	-	downstream	3946	3319	NearestLocation
X0432.ENSMUSG00000075707	chr12	111501378	111502031	654	*	0432	ENSMUSG00000075707	111517278	111519307	+	upstream	-15574	15247	NearestLocation
X0433.ENSMUSG00000002565	chr12	40860408	40860890	483	*	0433	ENSMUSG00000002565	40860497	40860770	-	includeFeature	121	89	NearestLocation
X0434.ENSMUSG00000037679	chr12	113839442	113840082	641	*	0434	ENSMUSG00000037679	113826995	113827106	+	downstream	12767	12336	NearestLocation
X0435.ENSMUSG00000034157	chr12	88302918	88303424	507	*	0435	ENSMUSG00000034157	88288364	88288449	+	downstream	14807	14469	NearestLocation
X0436.ENSMUSG00000040867	chr12	110271944	110272810	867	*	0436	ENSMUSG00000040867	110291554	110291589	-	downstream	19212	18744	NearestLocation
X0437.ENSMUSG00000001729	chr12	113900462	113900771	310	*	0437	ENSMUSG00000001729	113912211	113912487	-	downstream	11871	11440	NearestLocation
X0438.ENSMUSG00000002799	chr12	114154439	114155457	1019	*	0438	ENSMUSG00000002799	114167630	114167706	-	downstream	12758	12173	NearestLocation
X0439.ENSMUSG00000021136	chr12	82099524	82100315	792	*	0439	ENSMUSG00000021136	82127795	82128145	+	upstream	-27875	27480	NearestLocation
X0440.ENSMUSG00000021278	chr12	112508999	112510417	1419	*	0440	ENSMUSG00000021278	112509322	112509375	+	includeFeature	386	323	NearestLocation
X0441.ENSMUSG00000085925	chr12	110787712	110788313	602	*	0441	ENSMUSG00000085925	110838479	110838540	-	downstream	50528	50166	NearestLocation
X0442.ENSMUSG00000021278	chr12	112531260	112532804	1545	*	0442	ENSMUSG00000021278	112509322	112509375	+	downstream	22710	21885	NearestLocation
X0443.ENSMUSG00000021279	chr12	112577070	112577798	729	*	0443	ENSMUSG00000021279	112615308	112615929	-	downstream	38495	37510	NearestLocation
X0444.ENSMUSG00000035105	chr12	55169524	55170248	725	*	0444	ENSMUSG00000035105	55304192	55304847	-	downstream	134961	133944	NearestLocation
X0445.ENSMUSG00000002799	chr12	114153303	114153883	581	*	0445	ENSMUSG00000002799	114167630	114167706	-	downstream	14113	13747	NearestLocation
X0446.ENSMUSG00000075707	chr12	111557900	111558532	633	*	0446	ENSMUSG00000075707	111517278	111519307	+	downstream	40938	38593	NearestLocation
X0447.ENSMUSG00000021219	chr12	83525932	83526515	584	*	0447	ENSMUSG00000021219	83717912	83718370	+	upstream	-191688	191397	NearestLocation
X0448.ENSMUSG00000044456	chr12	103551200	103551683	484	*	0448	ENSMUSG00000044456	103521258	103521536	+	downstream	30184	29664	NearestLocation
X0449.ENSMUSG00000085925	chr12	110987914	110988445	532	*	0449	ENSMUSG00000085925	110838479	110838540	-	upstream	-149640	149374	NearestLocation
X0450.ENSMUSG00000072880	chr12	102115921	102116391	471	*	0450	ENSMUSG00000072880	102137225	102137614	-	downstream	21458	20834	NearestLocation
X0451.ENSMUSG00000064326	chr12	113894605	113895931	1327	*	0451	ENSMUSG00000064326	113883039	113883295	+	downstream	12229	11310	NearestLocation
X0452.ENSMUSG00000020673	chr12	30787822	30788488	667	*	0452	ENSMUSG00000020673	30817409	30817489	-	downstream	29334	28921	NearestLocation
X0453.ENSMUSG00000056508	chr12	111903332	111904108	777	*	0453	ENSMUSG00000056508	111920781	111920829	-	downstream	17109	16673	NearestLocation
X0454.ENSMUSG00000021087	chr12	73404693	73405439	747	*	0454	ENSMUSG00000021087	73509298	73510041	-	downstream	104975	103859	NearestLocation
X0455.ENSMUSG00000021260	chr12	109556429	109557199	771	*	0455	ENSMUSG00000021260	109544480	109544893	+	downstream	12334	11536	NearestLocation
X0456.ENSMUSG00000040867	chr12	110336284	110336846	563	*	0456	ENSMUSG00000040867	110291554	110291589	-	upstream	-44976	44695	NearestLocation
X0457.ENSMUSG00000021223	chr12	85115358	85116024	667	*	0457	ENSMUSG00000021223	85104584	85104666	+	downstream	11107	10692	NearestLocation
X0458.ENSMUSG00000034801	chr12	70781525	70782224	700	*	0458	ENSMUSG00000034801	70782502	70782839	-	downstream	965	278	NearestLocation
X0459.ENSMUSG00000021009	chr12	99926679	99927756	1078	*	0459	ENSMUSG00000021009	99972680	99972855	-	downstream	45637	44924	NearestLocation
X0460.ENSMUSG00000087642	chr12	114513961	114514514	554	*	0460	ENSMUSG00000087642	114511187	114511457	-	upstream	-2781	2504	NearestLocation
X0461.ENSMUSG00000056359	chr12	74562972	74563402	431	*	0461	ENSMUSG00000056359	74510390	74510544	-	upstream	-52643	52428	NearestLocation
X0462.ENSMUSG00000040867	chr12	110277686	110278547	862	*	0462	ENSMUSG00000040867	110291554	110291589	-	downstream	13473	13007	NearestLocation
X0463.ENSMUSG00000052609	chr12	77709907	77710558	652	*	0463	ENSMUSG00000052609	77634547	77634805	+	downstream	75685	75102	NearestLocation
X0464.ENSMUSG00000056606	chr12	105830887	105832095	1209	*	0464	ENSMUSG00000056606	105712698	105715699	+	downstream	118793	115188	NearestLocation
X0465.ENSMUSG00000091222	chr12	114146929	114147628	700	*	0465	ENSMUSG00000091222	114131774	114131797	+	downstream	15504	15132	NearestLocation
X0466.ENSMUSG00000034271	chr12	86970602	86971259	658	*	0466	ENSMUSG00000034271	86940366	86940564	+	downstream	30564	30038	NearestLocation
X0467.ENSMUSG00000021287	chr12	113032255	113033096	842	*	0467	ENSMUSG00000021287	113050272	113050412	-	downstream	17736	17176	NearestLocation
X0468.ENSMUSG00000047415	chr12	102182949	102184181	1233	*	0468	ENSMUSG00000047415	102146309	102146408	-	upstream	-37157	36541	NearestLocation
X0469.ENSMUSG00000090883	chr12	81440238	81441200	963	*	0469	ENSMUSG00000090883	81376170	81376217	-	upstream	-64502	64021	NearestLocation
X0470.ENSMUSG00000078993	chr12	114634956	114635491	536	*	0470	ENSMUSG00000078993	114655095	114655239	+	upstream	-19871	19604	NearestLocation
X0471.ENSMUSG00000040856	chr12	110655433	110656167	735	*	0471	ENSMUSG00000040856	110691059	110691504	+	upstream	-35259	34892	NearestLocation
X0472.ENSMUSG00000021258	chr12	109448898	109449756	859	*	0472	ENSMUSG00000021258	109424580	109424832	+	downstream	24747	24066	NearestLocation
X0473.ENSMUSG00000021222	chr12	84892147	84892874	728	*	0473	ENSMUSG00000021222	84861416	84861567	+	downstream	31094	30580	NearestLocation
X0474.ENSMUSG00000021115	chr12	107465488	107466066	579	*	0474	ENSMUSG00000021115	107248473	107248568	+	downstream	217304	216920	NearestLocation
X0475.ENSMUSG00000021254	chr12	87532905	87533498	594	*	0475	ENSMUSG00000021254	87582819	87582894	+	upstream	-49617	49321	NearestLocation
X0476.ENSMUSG00000006356	chr12	114369639	114370273	635	*	0476	ENSMUSG00000006356	114378447	114378825	+	upstream	-8491	8174	NearestLocation
X0477.ENSMUSG00000056899	chr12	41570808	41571350	543	*	0477	ENSMUSG00000056899	41750677	41750732	+	upstream	-179598	179327	NearestLocation
X0478.ENSMUSG00000052609	chr12	77709282	77709866	585	*	0478	ENSMUSG00000052609	77634547	77634805	+	downstream	75027	74477	NearestLocation
X0479.ENSMUSG00000042029	chr12	117604084	117604468	385	*	0479	ENSMUSG00000042029	117643875	117643934	+	upstream	-39599	39407	NearestLocation
X0480.ENSMUSG00000036523	chr12	16759926	16760500	575	*	0480	ENSMUSG00000036523	16718479	16718579	-	upstream	-41634	41347	NearestLocation
X0481.ENSMUSG00000044912	chr12	75098881	75099350	470	*	0481	ENSMUSG00000044912	75098748	75098850	+	downstream	368	31	NearestLocation
X0482.ENSMUSG00000052609	chr12	77673177	77673866	690	*	0482	ENSMUSG00000052609	77634547	77634805	+	downstream	38975	38372	NearestLocation
X0483.ENSMUSG00000021065	chr12	78618694	78619105	412	*	0483	ENSMUSG00000021065	78340052	78340240	+	downstream	278848	278454	NearestLocation
X0484.ENSMUSG00000002799	chr12	114151422	114153215	1794	*	0484	ENSMUSG00000002799	114167630	114167706	-	downstream	15388	14415	NearestLocation
X0485.ENSMUSG00000091732	chr12	4714221	4714726	506	*	0485	ENSMUSG00000091732	4696208	4696732	-	upstream	-17742	17489	NearestLocation
X0486.ENSMUSG00000036523	chr12	16702900	16703693	794	*	0486	ENSMUSG00000036523	16718479	16718579	-	downstream	15283	14786	NearestLocation
X0487.ENSMUSG00000052609	chr12	77699232	77699924	693	*	0487	ENSMUSG00000052609	77634547	77634805	+	downstream	65031	64427	NearestLocation
X0488.ENSMUSG00000015143	chr12	81330934	81331373	440	*	0488	ENSMUSG00000015143	81360974	81361358	-	downstream	30204	29601	NearestLocation
X0489.ENSMUSG00000021242	chr12	86101515	86101966	452	*	0489	ENSMUSG00000021242	86113736	86114062	-	downstream	12322	11770	NearestLocation
X0490.ENSMUSG00000021144	chr12	114326501	114327008	508	*	0490	ENSMUSG00000021144	114336489	114336656	+	upstream	-9735	9481	NearestLocation
X0491.ENSMUSG00000002799	chr12	114158062	114159250	1189	*	0491	ENSMUSG00000002799	114167630	114167706	-	downstream	9050	8380	NearestLocation
X0492.ENSMUSG00000020605	chr12	8331832	8333016	1185	*	0492	ENSMUSG00000020605	8320239	8320303	+	downstream	12185	11529	NearestLocation
X0493.ENSMUSG00000072825	chr12	113973114	113975110	1997	*	0493	ENSMUSG00000072825	113960385	113960593	+	downstream	13727	12521	NearestLocation
X0494.ENSMUSG00000021037	chr12	88620437	88621336	900	*	0494	ENSMUSG00000021037	88607696	88607871	+	downstream	13190	12566	NearestLocation
X0495.ENSMUSG00000006356	chr12	114365395	114366380	986	*	0495	ENSMUSG00000006356	114378447	114378825	+	upstream	-12559	12067	NearestLocation
X0496.ENSMUSG00000021281	chr12	112683209	112683959	751	*	0496	ENSMUSG00000021281	112680873	112680894	+	downstream	2711	2315	NearestLocation
X0497.ENSMUSG00000000253	chr13	45662035	45662783	749	*	0497	ENSMUSG00000000253	45602813	45603112	+	downstream	59596	58923	NearestLocation
X0498.ENSMUSG00000002808	chr13	19710958	19711510	553	*	0498	ENSMUSG00000002808	19711163	19711699	-	overlapEnd	465	189	NearestLocation
X0499.ENSMUSG00000021707	chr13	92900960	92902125	1166	*	0499	ENSMUSG00000021707	93124738	93125299	+	upstream	-223196	222613	NearestLocation
X0500.ENSMUSG00000037989	chr13	49156407	49156978	572	*	0500	ENSMUSG00000037989	49166324	49166384	-	downstream	9692	9346	NearestLocation
X0501.ENSMUSG00000021464	chr13	53339464	53340009	546	*	0501	ENSMUSG00000021464	53380835	53380918	-	downstream	41182	40826	NearestLocation
X0502.ENSMUSG00000021506	chr13	55926392	55927157	766	*	0502	ENSMUSG00000021506	55932133	55932786	-	downstream	6012	4976	NearestLocation
X0503.ENSMUSG00000033499	chr13	9169890	9170298	409	*	0503	ENSMUSG00000033499	9093151	9093426	+	downstream	76943	76464	NearestLocation
X0504.ENSMUSG00000041995	chr13	96105783	96106546	764	*	0504	ENSMUSG00000041995	96095192	96095299	+	downstream	10972	10484	NearestLocation
X0505.ENSMUSG00000091213	chr13	56167230	56168058	829	*	0505	ENSMUSG00000091213	56186143	56186183	+	upstream	-18499	18085	NearestLocation
X0506.ENSMUSG00000021494	chr13	55643929	55644424	496	*	0506	ENSMUSG00000021494	55637842	55638019	-	upstream	-6157	5910	NearestLocation
X0507.ENSMUSG00000021457	chr13	52733254	52733866	613	*	0507	ENSMUSG00000021457	52678542	52678974	+	downstream	55018	54280	NearestLocation
X0508.ENSMUSG00000038991	chr13	38577481	38577895	415	*	0508	ENSMUSG00000038991	38620057	38620339	-	downstream	42651	42162	NearestLocation
X0509.ENSMUSG00000021466	chr13	63673565	63674177	613	*	0509	ENSMUSG00000021466	63615550	63615625	-	upstream	-58246	57940	NearestLocation
X0510.ENSMUSG00000076430	chr13	31039062	31039668	607	*	0510	ENSMUSG00000076430	31038442	31039628	-	overlapStart	263	40	NearestLocation
X0511.ENSMUSG00000037989	chr13	49145971	49147079	1109	*	0511	ENSMUSG00000037989	49166324	49166384	-	downstream	19859	19245	NearestLocation
X0512.ENSMUSG00000034675	chr13	55583097	55583813	717	*	0512	ENSMUSG00000034675	55589224	55589437	-	downstream	5982	5411	NearestLocation
X0513.ENSMUSG00000034675	chr13	55577340	55578074	735	*	0513	ENSMUSG00000034675	55589224	55589437	-	downstream	11730	11150	NearestLocation
X0514.ENSMUSG00000035493	chr13	56710686	56711375	690	*	0514	ENSMUSG00000035493	56710920	56711141	+	includeFeature	110	234	NearestLocation
X0515.ENSMUSG00000050919	chr13	99998201	99999550	1350	*	0515	ENSMUSG00000050919	99954778	99954819	+	downstream	44098	43382	NearestLocation
X0516.ENSMUSG00000039219	chr13	14284124	14284556	433	*	0516	ENSMUSG00000039219	14156051	14156181	+	downstream	128289	127943	NearestLocation
X0517.ENSMUSG00000051107	chr13	51820452	51820975	524	*	0517	ENSMUSG00000051107	51796206	51796410	-	upstream	-24304	24042	NearestLocation
X0518.ENSMUSG00000021494	chr13	55640669	55641283	615	*	0518	ENSMUSG00000021494	55637842	55638019	-	upstream	-2957	2650	NearestLocation
X0519.ENSMUSG00000044444	chr13	55516060	55516771	712	*	0519	ENSMUSG00000044444	55516387	55516543	-	includeFeature	127	228	NearestLocation
X0520.ENSMUSG00000056222	chr13	58008861	58009651	791	*	0520	ENSMUSG00000056222	58008763	58008948	-	overlapStart	-308	87	NearestLocation
X0521.ENSMUSG00000021567	chr13	73958485	73958946	462	*	0521	ENSMUSG00000021567	73984851	73985079	-	downstream	26363	25905	NearestLocation
X0522.ENSMUSG00000034928	chr13	54782643	54783991	1349	*	0522	ENSMUSG00000034928	54788855	54789455	-	downstream	6138	4864	NearestLocation
X0523.ENSMUSG00000025868	chr13	54699906	54700837	932	*	0523	ENSMUSG00000025868	54691568	54691780	+	downstream	8804	8126	NearestLocation
X0524.ENSMUSG00000091213	chr13	56126309	56126861	553	*	0524	ENSMUSG00000091213	56186143	56186183	+	upstream	-59558	59282	NearestLocation
X0525.ENSMUSG00000000253	chr13	45662902	45663627	726	*	0525	ENSMUSG00000000253	45602813	45603112	+	downstream	60451	59790	NearestLocation
X0526.ENSMUSG00000005320	chr13	55257236	55257924	689	*	0526	ENSMUSG00000005320	55254001	55254288	+	downstream	3579	2948	NearestLocation
X0527.ENSMUSG00000021494	chr13	55651434	55651872	439	*	0527	ENSMUSG00000021494	55637842	55638019	-	upstream	-13634	13415	NearestLocation
X0528.ENSMUSG00000038025	chr13	48908067	48908635	569	*	0528	ENSMUSG00000038025	48966037	48966254	-	downstream	57903	57402	NearestLocation
X0529.ENSMUSG00000021466	chr13	63612903	63613457	555	*	0529	ENSMUSG00000021466	63615550	63615625	-	downstream	2445	2093	NearestLocation
X0530.ENSMUSG00000021368	chr13	43295472	43296835	1364	*	0530	ENSMUSG00000021368	43266698	43266728	-	upstream	-29426	28744	NearestLocation
X0531.ENSMUSG00000045835	chr13	26861131	26861900	770	*	0531	ENSMUSG00000045835	26860041	26862034	-	inside	518	134	NearestLocation
X0532.ENSMUSG00000091383	chr13	51337629	51338150	522	*	0532	ENSMUSG00000091383	51298057	51298434	-	upstream	-39456	39195	NearestLocation
X0533.ENSMUSG00000047117	chr13	97240794	97241335	542	*	0533	ENSMUSG00000047117	97240895	97241115	-	includeFeature	51	101	NearestLocation
X0534.ENSMUSG00000021759	chr13	113623497	113623901	405	*	0534	ENSMUSG00000021759	113591102	113591474	+	downstream	32597	32023	NearestLocation
X0535.ENSMUSG00000037989	chr13	49137854	49138528	675	*	0535	ENSMUSG00000037989	49166324	49166384	-	downstream	28193	27796	NearestLocation
X0536.ENSMUSG00000021506	chr13	55999667	56000417	751	*	0536	ENSMUSG00000021506	55932133	55932786	-	upstream	-67256	66881	NearestLocation
X0537.ENSMUSG00000076431	chr13	29050070	29050516	447	*	0537	ENSMUSG00000076431	29040788	29045582	-	upstream	-4711	4488	NearestLocation
X0538.ENSMUSG00000022199	chr14	55535719	55536411	693	*	0538	ENSMUSG00000022199	55531704	55531969	-	upstream	-4096	3750	NearestLocation
X0539.ENSMUSG00000019027	chr14	32123892	32124386	495	*	0539	ENSMUSG00000019027	32137049	32137082	-	downstream	12943	12663	NearestLocation
X0540.ENSMUSG00000050222	chr14	58160985	58161558	574	*	0540	ENSMUSG00000050222	58143666	58143758	+	downstream	17606	17227	NearestLocation
X0541.ENSMUSG00000041078	chr14	35693712	35694214	503	*	0541	ENSMUSG00000041078	35633011	35633492	+	downstream	60952	60220	NearestLocation
X0542.ENSMUSG00000045731	chr14	66014440	66015233	794	*	0542	ENSMUSG00000045731	66043975	66044046	-	downstream	29210	28742	NearestLocation
X0543.ENSMUSG00000022012	chr14	77574232	77574695	464	*	0543	ENSMUSG00000022012	77556623	77556849	+	downstream	17841	17383	NearestLocation
X0544.ENSMUSG00000021901	chr14	32100584	32101133	550	*	0544	ENSMUSG00000021901	32064675	32064840	+	downstream	36183	35744	NearestLocation
X0545.ENSMUSG00000035184	chr14	63206074	63206576	503	*	0545	ENSMUSG00000035184	63174574	63174751	+	downstream	31751	31323	NearestLocation
X0546.ENSMUSG00000021910	chr14	31997832	31998544	713	*	0546	ENSMUSG00000021910	31998498	31998508	-	includeFeature	320	36	NearestLocation
X0547.ENSMUSG00000021994	chr14	29335615	29336143	529	*	0547	ENSMUSG00000021994	29317936	29319300	+	downstream	17943	16315	NearestLocation
X0548.ENSMUSG00000039308	chr14	21540337	21540965	629	*	0548	ENSMUSG00000039308	21548388	21549766	-	downstream	9115	7423	NearestLocation
X0549.ENSMUSG00000021943	chr14	34701576	34702014	439	*	0549	ENSMUSG00000021943	34736773	34737388	+	upstream	-34978	34759	NearestLocation
X0550.ENSMUSG00000047098	chr14	56215097	56215673	577	*	0550	ENSMUSG00000047098	56210581	56210909	+	downstream	4804	4188	NearestLocation
X0551.ENSMUSG00000050335	chr14	47993280	47994014	735	*	0551	ENSMUSG00000050335	47987426	47987527	+	downstream	6221	5753	NearestLocation
X0552.ENSMUSG00000052435	chr14	55330169	55330971	803	*	0552	ENSMUSG00000052435	55330286	55331011	-	overlapEnd	441	40	NearestLocation
X0553.ENSMUSG00000021973	chr14	58584146	58584512	367	*	0553	ENSMUSG00000021973	58617867	58618099	-	downstream	33770	33355	NearestLocation
X0554.ENSMUSG00000021773	chr14	22722580	22723481	902	*	0554	ENSMUSG00000021773	22668001	22668199	-	upstream	-54831	54381	NearestLocation
X0555.ENSMUSG00000072684	chr14	26471002	26471624	623	*	0555	ENSMUSG00000072684	26484519	26486217	+	upstream	-13206	12895	NearestLocation
X0556.ENSMUSG00000063885	chr14	48875598	48876450	853	*	0556	ENSMUSG00000063885	48818391	48818791	+	downstream	57633	56807	NearestLocation
X0557.ENSMUSG00000007817	chr14	26372904	26373467	564	*	0557	ENSMUSG00000007817	26278710	26279042	+	downstream	94476	93862	NearestLocation
X0558.ENSMUSG00000041044	chr14	37870320	37870939	620	*	0558	ENSMUSG00000041044	37868016	37868232	+	downstream	2614	2088	NearestLocation
X0559.ENSMUSG00000041078	chr14	35751347	35751947	601	*	0559	ENSMUSG00000041078	35633011	35633492	+	downstream	118636	117855	NearestLocation
X0560.ENSMUSG00000057293	chr14	26554026	26554734	709	*	0560	ENSMUSG00000057293	26525992	26526561	-	upstream	-27819	27465	NearestLocation
X0561.ENSMUSG00000072473	chr14	33231927	33232342	416	*	0561	ENSMUSG00000072473	33201442	33201559	-	upstream	-30575	30368	NearestLocation
X0562.ENSMUSG00000072684	chr14	26405047	26405684	638	*	0562	ENSMUSG00000072684	26484519	26486217	+	upstream	-79153	78835	NearestLocation
X0563.ENSMUSG00000071531	chr14	35007476	35008943	1468	*	0563	ENSMUSG00000071531	35014596	35014819	-	downstream	6609	5653	NearestLocation
X0564.ENSMUSG00000022175	chr14	55086538	55087667	1130	*	0564	ENSMUSG00000022175	55083001	55083448	+	downstream	4101	3090	NearestLocation
X0565.ENSMUSG00000002324	chr14	56242915	56243427	513	*	0565	ENSMUSG00000002324	56236874	56237190	+	downstream	6297	5725	NearestLocation
X0566.ENSMUSG00000021952	chr14	58318124	58319555	1432	*	0566	ENSMUSG00000021952	58283725	58283829	-	upstream	-35011	34295	NearestLocation
X0567.ENSMUSG00000046049	chr14	64640677	64641445	769	*	0567	ENSMUSG00000046049	64611268	64611465	+	downstream	29793	29212	NearestLocation
X0568.ENSMUSG00000007817	chr14	26123632	26124550	919	*	0568	ENSMUSG00000007817	26278710	26279042	+	upstream	-154619	154160	NearestLocation
X0569.ENSMUSG00000021952	chr14	58309997	58310677	681	*	0569	ENSMUSG00000021952	58283725	58283829	-	upstream	-26508	26168	NearestLocation
X0570.ENSMUSG00000022101	chr14	71041231	71042348	1118	*	0570	ENSMUSG00000022101	71041530	71042075	-	includeFeature	285	273	NearestLocation
X0571.ENSMUSG00000048337	chr14	34965135	34965910	776	*	0571	ENSMUSG00000048337	34965446	34965675	-	includeFeature	153	235	NearestLocation
X0572.ENSMUSG00000021797	chr14	35368400	35368913	514	*	0572	ENSMUSG00000021797	35335832	35335987	-	upstream	-32669	32413	NearestLocation
X0573.ENSMUSG00000021782	chr14	24995420	24996091	672	*	0573	ENSMUSG00000021782	24969734	24969768	-	upstream	-25988	25652	NearestLocation
X0574.ENSMUSG00000043157	chr14	61929723	61930275	553	*	0574	ENSMUSG00000043157	61928590	61928774	+	downstream	1409	949	NearestLocation
X0575.ENSMUSG00000021962	chr14	31236241	31236994	754	*	0575	ENSMUSG00000021962	31292751	31293002	+	upstream	-56133	55757	NearestLocation
X0576.ENSMUSG00000022032	chr14	66349222	66350212	991	*	0576	ENSMUSG00000022032	66285240	66285583	+	downstream	64477	63639	NearestLocation
X0577.ENSMUSG00000060012	chr14	65206014	65206671	658	*	0577	ENSMUSG00000060012	65271439	65271493	+	upstream	-65097	64768	NearestLocation
X0578.ENSMUSG00000075571	chr14	63644261	63644910	650	*	0578	ENSMUSG00000075571	63656595	63656670	-	downstream	12084	11685	NearestLocation
X0579.ENSMUSG00000022043	chr14	66927508	66928230	723	*	0579	ENSMUSG00000022043	66915868	66916386	+	downstream	12001	11122	NearestLocation
X0580.ENSMUSG00000040721	chr14	55692012	55693480	1469	*	0580	ENSMUSG00000040721	55710845	55711161	-	downstream	18415	17365	NearestLocation
X0581.ENSMUSG00000023387	chr14	21065861	21066593	733	*	0581	ENSMUSG00000023387	21088172	21088384	-	downstream	22157	21579	NearestLocation
X0582.ENSMUSG00000021797	chr14	35365191	35365686	496	*	0582	ENSMUSG00000021797	35335832	35335987	-	upstream	-29451	29204	NearestLocation
X0583.ENSMUSG00000000365	chr14	57021326	57021897	572	*	0583	ENSMUSG00000000365	57021534	57021661	+	includeFeature	78	208	NearestLocation
X0584.ENSMUSG00000022218	chr14	56324181	56324970	790	*	0584	ENSMUSG00000022218	56332125	56332329	-	downstream	7753	7155	NearestLocation
X0585.ENSMUSG00000078128	chr14	27307499	27307915	417	*	0585	ENSMUSG00000078128	27334040	27334396	+	upstream	-26333	26125	NearestLocation
X0586.ENSMUSG00000072571	chr14	52624188	52624687	500	*	0586	ENSMUSG00000072571	52636540	52636616	+	upstream	-12102	11853	NearestLocation
X0587.ENSMUSG00000072684	chr14	26453371	26454105	735	*	0587	ENSMUSG00000072684	26484519	26486217	+	upstream	-30781	30414	NearestLocation
X0588.ENSMUSG00000042286	chr14	31954241	31955146	906	*	0588	ENSMUSG00000042286	31952930	31953034	-	upstream	-1660	1207	NearestLocation
X0589.ENSMUSG00000022176	chr14	55098096	55098810	715	*	0589	ENSMUSG00000022176	55094937	55095211	+	downstream	3516	2885	NearestLocation
X0590.ENSMUSG00000021892	chr14	32219399	32220048	650	*	0590	ENSMUSG00000021892	32248997	32249264	-	downstream	29540	28949	NearestLocation
X0591.ENSMUSG00000021936	chr14	34175326	34176044	719	*	0591	ENSMUSG00000021936	34260201	34260344	-	downstream	84659	84157	NearestLocation
X0592.ENSMUSG00000051506	chr14	34002437	34002937	501	*	0592	ENSMUSG00000051506	33998054	33998252	-	upstream	-4435	4185	NearestLocation
X0593.ENSMUSG00000070448	chr14	52054537	52055053	517	*	0593	ENSMUSG00000070448	52071678	52071922	+	upstream	-16883	16625	NearestLocation
X0594.ENSMUSG00000022098	chr14	70889811	70890308	498	*	0594	ENSMUSG00000022098	70919676	70920067	-	downstream	30007	29368	NearestLocation
X0595.ENSMUSG00000071540	chr14	33472942	33474109	1168	*	0595	ENSMUSG00000071540	33472954	33477192	-	overlapEnd	3666	12	NearestLocation
X0596.ENSMUSG00000021982	chr14	60185505	60185961	457	*	0596	ENSMUSG00000021982	60216592	60216673	-	downstream	30940	30631	NearestLocation
X0597.ENSMUSG00000021978	chr14	65672175	65672936	762	*	0597	ENSMUSG00000021978	65716834	65716943	-	downstream	44387	43898	NearestLocation
X0598.ENSMUSG00000033111	chr14	12986286	12986868	583	*	0598	ENSMUSG00000033111	13116723	13116771	+	upstream	-130146	129855	NearestLocation
X0599.ENSMUSG00000018169	chr15	78584584	78585169	586	*	0599	ENSMUSG00000018169	78603448	78603905	-	downstream	19029	18279	NearestLocation
X0600.ENSMUSG00000022416	chr15	80225167	80226440	1274	*	0600	ENSMUSG00000022416	80117964	80118207	+	downstream	107840	106960	NearestLocation
X0601.ENSMUSG00000089715	chr15	79658406	79659746	1341	*	0601	ENSMUSG00000089715	79664573	79664641	-	downstream	5565	4827	NearestLocation
X0602.ENSMUSG00000006378	chr15	78833783	78834569	787	*	0602	ENSMUSG00000006378	78861304	78861550	+	upstream	-27128	26735	NearestLocation
X0603.ENSMUSG00000061740	chr15	82206014	82206513	500	*	0603	ENSMUSG00000061740	82210508	82210690	-	downstream	4426	3995	NearestLocation
X0604.ENSMUSG00000046761	chr15	75865004	75865767	764	*	0604	ENSMUSG00000046761	75839804	75839928	-	upstream	-25458	25076	NearestLocation
X0605.ENSMUSG00000022389	chr15	81613070	81613948	879	*	0605	ENSMUSG00000022389	81632851	81633316	+	upstream	-19342	18903	NearestLocation
